year,gdp_cy_b241204f,pop_cy_b241204f,pc_cy_b241204f,pcmed_cy_b241204f,inc_cy_b241204f,inc_smooth_taxadj_cy_b241204f
1950,299.825,151.684,.125265,,214.825,214.825
1951,346.925,154.28675,.1337975,,237.175,237.175
1952,367.325,156.954,.13654,,250.45,250.45
1953,389.225,159.5655,.138335,,266,266
1954,390.525,162.3915,.1395025,,272.05,272.04999
1955,425.475,165.27475,.140045,,291.3,291.29999
1956,449.35,168.2215,.1428375,,311.325,311.32501
1957,474.05,171.274,.1471775,,329.1,329.10001
1958,481.225,174.141,.15066,,340.4,340.39999
1959,521.65,177.13025,.152905,.0647367189638632,360.575,360.57501
1960,542.375,180.76,.155415,.068159906611768,376.075,376.07501
1961,562.2000000000001,183.742,.157025,.0691195277313137,393.325,393.32501
1962,603.925,186.5905,.158865,.0701017085140986,417.275,417.27499
1963,637.4500000000001,189.2995,.160765,.0715011308216718,438.2,438.20001
1964,684.4500000000001,191.927,.1630925,.0733700794925302,476.125,476.125
1965,742.3,194.34675,.1654425,.0752483797312705,513,513
1966,813.4,196.5995,.169625,.0780054314031872,553.975,553.97498
1967,859.9500000000001,198.7515,.173885,.0821116785904734,592.775,592.77502
1968,940.625,200.7455,.1806875,.0864116754905857,643.9500000000001,643.95001
1969,1017.6,202.736,.1888275,.0917454516242952,695.85,695.84998
1970,1073.325,205.089,.197655,.0979522601075522,761.975,761.97498
1971,1164.875,207.69175,.2060525,.1024546334547949,831.0749999999999,831.07501
1972,1279.125,209.92425,.21308,.1062193588278818,900.8249999999999,900.82501
1973,1425.375,211.9385,.224555,.1105827418878749,1008.375,1008.375
1974,1545.25,213.89825,.2479325,.1201181629502546,1100.775,1100.775
1975,1684.9,215.981,.2686,.133038419930779,1221.775,1221.775
1976,1873.425,218.08625,.2833325,.1452297087740095,1329.975,1329.975
1977,2081.825,220.28925,.301765,.1569536101751531,1461.35,1461.35
1978,2351.6,222.629,.3227575,.1698906590471034,1634.05,1634.05
1979,2627.325,225.106,.3514325,.1857768646374365,1813.8,1813.8
1980,2857.325,227.7255,.3892775,.207466337647405,2024.95,2024.95
1981,3207.025,230.00825,.4241525,.2323722536832685,2257.425,2257.425
1982,3343.8,232.21825,.4477125,.2581134587296324,2434.7,2434.7
1983,3634.025,234.3325,.466755,.2813655767339616,2628.85,2628.8501
